vertex_index,distance,angle,elev_8,x,y,elev_Ap,relief,velocity
88,381.20247759851821,209.39329824298579,5258.363,486689.774,3106945.176,5298.000,47.623,3.051
89,385.67983397007839,209.39329824298579,5265.485,486687.576,3106941.275,5296.000,46.269,3.051
90,390.15719034120434,209.39329824412363,5265.485,486685.379,3106937.374,5296.000,46.269,3.051
91,394.63454671233018,209.39329824412363,5268.995,486683.181,3106933.473,5296.000,45.907,3.051
92,399.11190308345607,192.62957781742787,5268.995,486680.984,3106929.573,5296.000,45.907,3.051
93,403.78834174061024,175.86585739129339,5272.589,486681.321,3106924.908,5296.000,45.907,3.051
94,408.46478039822466,175.86585739129339,5272.589,486681.658,3106920.244,5296.000,45.907,3.051
95,413.14121905537883,156.24330659344241,5275.138,486681.995,3106915.580,5297.000,45.502,3.051
96,416.97271024306320,136.62075579376133,5275.138,486684.627,3106912.795,5297.000,45.502,3.051
97,420.80420143040914,136.62075579136999,5275.641,486687.258,3106910.010,5297.000,45.343,3.051
98,424.63569261775501,136.62075579376133,5273.481,486689.890,3106907.225,5297.000,45.343,3.051
99,428.46718380543945,154.38013540704455,5273.481,486692.521,3106904.440,5299.000,45.343,3.051
100,432.94829990439706,172.13951501756782,5272.600,486693.134,3106900.001,5299.000,45.343,3.051
101,437.42941600336263,172.13951501760636,5271.806,486693.747,3106895.562,5299.000,45.343,3.051
102,441.91053210278955,172.13951501797496,5271.806,486694.360,3106891.123,5303.000,45.343,3.051
103,446.39164820174710,168.80290895499886,5272.409,486694.973,3106886.684,5303.000,45.343,3.051
104,451.03094398167974,165.46630289206118,5271.049,486696.137,3106882.194,5303.000,44.482,3.051
105,455.67023976161249,165.46630289206118,5273.304,486697.301,3106877.703,5307.000,44.482,3.051
106,460.30953554154519,165.46630289206118,5273.304,486698.466,3106873.212,5307.000,44.482,1.578
107,464.94883132147794,165.46630289206118,5279.756,486699.630,3106868.721,5311.000,44.482,1.578
108,469.58812710141058,156.24886905265689,5279.756,486700.794,3106864.230,5311.000,44.482,1.578
109,473.93143200949783,147.03143521492404,5285.181,486703.158,3106860.586,5311.000,44.482,1.578
110,478.27473691797576,147.03143521492404,5281.664,486705.521,3106856.942,5313.000,41.063,1.578
111,482.61804182606306,133.57030893055091,5284.999,486707.885,3106853.298,5313.000,41.063,1.578
112,487.61603179244446,120.10918264999079,5283.534,486712.208,3106850.791,5313.000,38.550,1.578
113,492.61402175911002,112.29033173502918,5283.534,486716.532,3106848.284,5313.000,38.550,1.578
114,497.41811668076991,104.47148081801267,5284.644,486721.184,3106847.083,5312.000,41.618,1.578
115,502.22221160237342,104.47148081801267,5284.644,486725.835,3106845.883,5312.000,41.618,1.578
116,507.02630652403326,104.47148081792592,5281.110,486730.487,3106844.682,5311.000,43.703,1.578
117,511.83040144569321,86.75942960816620,5281.110,486735.139,3106843.482,5314.000,43.703,1.578
118,516.07343951369000,69.04737839826598,5276.541,486739.101,3106844.999,5311.000,45.797,1.578
119,520.31647758163240,69.04737839826598,5276.541,486743.063,3106846.516,5311.000,45.797,1.578
120,524.55951564962913,69.04737840134264,5273.025,486747.026,3106848.034,5311.000,48.680,1.578
121,528.80255371745932,69.04737840120210,5273.025,486750.988,3106849.551,5311.000,48.680,1.578
122,533.04559178540171,69.04737839826598,5270.354,486754.951,3106851.068,5311.000,48.680,1.578
123,537.28862985339845,80.21793911846882,5270.354,486758.913,3106852.586,5311.000,48.680,1.578
124,540.70264003691057,91.38849983853115,5268.803,486762.326,3106852.503,5311.000,48.680,1.578
125,544.11665022042268,91.38849983853115,5268.803,486765.739,3106852.420,5311.000,48.680,1.578
126,547.53066040393480,114.75118871209015,5267.825,486769.152,3106852.337,5311.000,48.680,1.578
127,552.23353541073277,138.11387758564919,5267.825,486772.292,3106848.836,5311.000,48.680,1.578
128,556.93641041753074,138.11387758564919,5267.275,486775.432,3106845.335,5311.000,47.832,1.578
129,561.63928542432870,164.42128885277563,5266.728,486778.572,3106841.834,5313.000,47.832,1.578
130,565.98265452418127,190.72870011895307,5267.021,486777.763,3106837.567,5313.000,44.774,1.578
131,570.32602362448051,190.72870011895307,5267.021,486776.955,3106833.299,5313.000,44.774,1.578
132,574.66939272433308,191.74630576823645,5268.236,486776.146,3106829.032,5316.000,40.594,1.578
133,579.01036035269669,192.76391141551727,5268.323,486775.187,3106824.798,5316.000,40.594,1.578
134,583.35132798150164,192.76391141514259,5269.633,486774.228,3106820.564,5316.000,40.594,1.578
135,587.69229560985241,192.76391141619621,5269.633,486773.269,3106816.331,5319.000,40.594,1.578
136,592.03326323821602,195.62664618799195,5270.854,486772.310,3106812.097,5319.000,40.594,1.578
137,595.82941304180679,198.48938096094409,5270.854,486771.106,3106808.497,5319.000,40.594,1.578
138,599.62556284497441,198.48938096094409,5272.115,486769.902,3106804.896,5321.000,40.594,1.578
139,603.42171264856518,207.43720703980091,5272.115,486768.699,3106801.296,5321.000,40.594,1.578
140,607.32944143545342,216.38503312053240,5272.614,486766.380,3106798.150,5321.000,40.594,1.578
141,611.23717022237622,216.38503311885083,5272.614,486764.062,3106795.004,5321.000,40.594,1.578
142,615.14489900967385,216.38503311850727,5272.614,486761.744,3106791.858,5322.000,40.594,1.578
143,619.05262779656209,219.01038478460688,5274.888,486759.426,3106788.713,5322.000,39.879,1.578
144,623.93473242265077,221.63573644902493,5274.888,486756.182,3106785.064,5322.000,39.879,1.578
145,628.81683704873944,221.63573644928019,5274.196,486752.939,3106781.415,5323.000,40.410,1.578
146,633.69894167486677,221.63573644928019,5276.087,486749.695,3106777.766,5323.000,40.410,1.578
147,638.58104630095545,228.10817623858117,5274.442,486746.452,3106774.117,5323.000,41.465,1.578
148,643.33734344427614,234.58061602834064,5275.113,486742.576,3106771.361,5323.000,41.465,1.578
149,648.09364058764424,234.58061602834064,5275.113,486738.699,3106768.604,5322.000,41.465,1.578
150,652.84993773096494,223.57681572494127,5273.760,486734.823,3106765.848,5322.000,41.906,1.578
151,657.52255979102563,212.57301542174511,5273.760,486732.308,3106761.910,5322.000,41.906,1.578
152,662.19518185108632,210.06227884115813,5273.313,486729.792,3106757.972,5322.000,42.544,1.578
153,665.93895714506766,207.55154226057101,5273.313,486728.060,3106754.653,5320.000,42.544,1.578
154,669.68273243904900,207.55154226057101,5274.559,486726.329,3106751.334,5320.000,40.123,1.578
155,673.42650773303035,209.61573451434472,5274.559,486724.597,3106748.015,5320.000,40.123,1.578
156,676.86096232648958,211.67992676607861,5274.559,486722.793,3106745.092,5320.000,40.123,6.399
157,680.29541692034502,211.67992676607861,5276.382,486720.990,3106742.169,5318.000,39.342,6.399
158,683.72987151380426,199.61623450142221,5276.542,486719.186,3106739.247,5318.000,37.795,6.399
159,688.16431225095766,187.55254223395767,5277.362,486718.603,3106734.851,5318.000,36.551,6.399
160,692.59875298856514,188.34842888801563,5277.362,486718.020,3106730.455,5317.000,36.551,6.399
161,696.10115987332176,189.14431554270649,5277.847,486717.464,3106726.997,5317.000,35.595,6.399
162,699.60356675854734,189.14431554270649,5277.847,486716.907,3106723.539,5317.000,35.595,6.399
163,703.10597364330397,202.30474292345025,5277.847,486716.351,3106720.081,5317.000,35.595,6.399
164,707.25249549687601,215.46517030405877,5278.375,486713.945,3106716.704,5315.000,34.932,6.399
165,711.39901735044805,215.46517030405877,5278.325,486711.539,3106713.327,5315.000,33.139,6.399
166,715.54553920402009,212.76653874598887,5279.511,486709.133,3106709.949,5315.000,33.103,6.399
167,719.16330384056710,210.06790718791905,5279.511,486707.320,3106706.818,5314.000,33.103,6.399
168,722.78106847711410,210.06790718791905,5280.651,486705.508,3106703.688,5314.000,33.103,6.399
169,726.39883311366111,201.91581095119329,5280.651,486703.695,3106700.557,5315.000,33.103,6.399
170,730.42249219840107,193.76371471406500,5282.835,486702.738,3106696.648,5315.000,30.480,6.399
171,734.44615128312739,193.76371471406500,5284.412,486701.781,3106692.740,5314.000,30.480,6.399
172,738.46981036786747,185.19652810958641,5284.412,486700.823,3106688.832,5314.000,30.480,6.399
173,743.26267858996709,176.62934150505254,5285.112,486701.105,3106684.048,5314.000,36.505,6.399
174,748.05554681206308,176.62934150505254,5284.890,486701.387,3106679.263,5313.000,42.057,6.399
175,752.84841503416260,180.76721604894479,5284.890,486701.669,3106674.479,5313.000,42.057,6.399
176,756.86218213814868,184.90509059318441,5284.019,486701.326,3106670.479,5313.000,40.225,6.399
177,760.87594924213454,184.90509059318441,5284.019,486700.982,3106666.480,5314.000,40.225,6.399
178,764.88971634612051,195.98626907919163,5282.923,486700.639,3106662.481,5314.000,39.811,4.812
179,769.49101756851644,207.06744756487615,5282.923,486698.545,3106658.384,5314.000,39.811,4.812
180,774.09231879088611,215.71470852446376,5282.051,486696.452,3106654.287,5316.000,40.293,4.812
181,777.48686058069131,224.36196948162629,5283.258,486694.078,3106651.860,5316.000,39.599,4.812
182,780.88140237082962,224.36196948162629,5283.258,486691.705,3106649.433,5317.000,39.599,4.812
183,784.27594416063494,229.06433423062589,5282.295,486689.331,3106647.006,5317.000,41.730,4.812
184,788.90961322152884,233.76669897919993,5283.313,486685.594,3106644.267,5319.000,41.064,4.812
