vertex_index,distance,angle,elev,x,y,relief,velocity
256,905.69706819741521,124.13499189411733,88.148,999491.809,-606393.205,13.000,20.010
257,909.28194171075347,124.24367964152350,88.344,999494.776,-606395.216,12.984,20.010
258,912.89812501338577,124.35236738687784,88.469,999497.761,-606397.257,13.070,20.010
259,916.51430831604853,124.35236738687784,88.727,999500.747,-606399.297,12.992,20.010
260,920.13049161868059,108.51840215619011,88.813,999503.732,-606401.338,13.047,20.010
261,923.29860265739660,109.81354103981793,89.227,999506.897,-606401.486,13.109,20.010
262,927.13342926020164,126.94264515558766,89.258,999509.962,-606403.791,13.320,20.010
263,930.96825586316982,129.45698460611939,89.305,999513.027,-606406.096,13.617,20.010
264,934.11609572156021,131.97132405718727,89.422,999515.367,-606408.201,13.711,20.010
265,937.26393557986421,123.48828555991219,89.602,999517.708,-606410.306,13.758,20.010
266,941.34255875665565,136.10287265163686,89.875,999521.404,-606412.030,13.719,20.010
267,945.27988473974438,146.83896251679883,90.117,999522.930,-606415.660,13.625,20.010
268,949.46849577595947,136.47742679282985,90.656,999525.814,-606418.697,13.516,20.010
269,953.65710681209453,133.77612625069315,91.109,999528.699,-606421.734,13.367,20.010
270,957.89383153408323,131.07482570790290,91.742,999531.892,-606424.518,13.398,20.010
271,962.13055625590766,112.49186804068124,92.242,999535.086,-606427.302,13.672,20.010
272,966.73745499871904,104.64058656022624,92.547,999539.682,-606427.616,13.906,20.010
273,969.43922818052545,141.99575190020977,92.813,999542.124,-606428.773,14.109,20.010
274,973.16685771299638,157.81866669716607,92.750,999542.859,-606432.428,14.109,20.010
275,976.61065964971840,126.24542907985692,92.688,999544.734,-606435.316,14.203,20.010
276,978.70518486485275,110.45725534922160,92.672,999546.753,-606435.875,14.328,20.010
277,982.12197524889984,149.17544981680885,92.594,999549.838,-606437.343,14.430,20.010
278,986.95755905890223,185.77663977185685,92.766,999549.593,-606442.172,14.250,20.010
279,991.68326770539761,149.05120868369673,93.070,999548.882,-606446.844,14.047,20.010
280,994.74939297691060,109.45829257737660,92.836,999551.773,-606447.866,14.094,20.010
281,997.81551824853329,100.98421165116289,92.500,999554.664,-606448.887,14.117,20.010
282,1001.60072947178048,92.51013072531154,92.648,999558.446,-606449.053,14.344,20.010
283,1005.38594069502767,95.57169557728960,93.117,999562.227,-606449.219,14.594,20.010
284,1009.95581959854053,126.83124086100975,93.836,999566.746,-606449.905,14.734,20.010
285,1013.52698617696751,174.87323648007168,93.180,999568.253,-606453.142,14.586,20.010
286,1016.43950015728581,194.71725166739151,92.656,999567.513,-606455.959,14.359,20.010
287,1019.35201413760421,156.87663170198826,92.766,999566.773,-606458.776,14.047,20.010
288,1022.05396236231172,119.03601173706510,93.078,999569.136,-606460.087,14.023,20.010
289,1024.75591058717760,114.73995962551793,93.055,999571.498,-606461.399,14.156,20.010
290,1027.68782490129252,110.44390751349069,93.664,999574.245,-606462.423,14.352,20.010
291,1030.61973921540744,120.23804258947796,93.828,999576.992,-606463.447,14.469,20.010
292,1034.12597143172025,130.03217766485338,94.328,999579.677,-606465.702,14.484,20.010
293,1037.63220364812219,120.05389640513432,94.906,999582.362,-606467.958,14.484,20.010
294,1042.54020464733480,139.99640664544225,95.734,999586.972,-606469.642,14.430,20.010
