vertex_index,distance,angle,elev,x,y,Velocity,relief
25,79.95529379543402,339.34713127598548,4593.742,-1483944.513,784596.294,154.042,23.948
26,83.37136822188748,342.08661245653360,4593.742,-1483945.563,784599.544,154.042,23.948
27,86.78744264838008,340.76938632177416,4593.856,-1483946.614,784602.795,154.042,23.140
28,91.48932985399352,335.84546778674161,4593.856,-1483948.264,784607.197,154.042,23.140
29,95.04930080642175,332.23877538862689,4594.697,-1483949.923,784610.348,154.042,23.959
30,98.60927175885001,322.24727669441364,4594.697,-1483951.581,784613.498,154.042,23.959
31,103.22164691389600,316.85198339271966,4594.697,-1483954.995,784616.599,154.042,23.959
32,107.50874648307604,324.76579936723664,4595.092,-1483957.666,784619.952,154.042,24.848
33,111.37320679686653,329.90552402080010,4595.092,-1483959.710,784623.232,154.042,24.848
34,114.67934529223388,331.72763809414261,4595.044,-1483961.276,784626.144,154.042,24.361
35,117.98548378749096,330.70224853677149,4595.044,-1483962.842,784629.056,154.042,24.361
36,121.03098652390698,329.67685897951407,4595.044,-1483964.379,784631.685,154.042,24.361
37,124.07648926020546,329.97902492467045,4594.917,-1483965.917,784634.314,154.042,23.808
38,127.09874257597406,335.11386199680106,4595.396,-1483967.415,784636.938,154.042,25.404
39,131.50861001162468,337.09228362247478,4595.396,-1483968.927,784641.081,154.042,25.404
40,136.42497812897784,334.45116587279267,4594.927,-1483971.064,784645.508,154.042,24.889
41,140.61636873577555,334.81650427417236,4594.927,-1483972.858,784649.297,154.042,24.889
42,145.43366222763612,338.35944088666525,4595.667,-1483974.896,784653.662,164.786,25.200
43,149.72674524399054,344.04753881612822,4595.667,-1483976.240,784657.739,164.786,25.200
44,154.00559908024044,346.72199669858145,4595.197,-1483977.250,784661.897,164.786,24.997
45,156.59312262700888,347.09908661870674,4595.197,-1483977.828,784664.419,164.786,24.997
46,159.18064617372534,334.39316900266124,4594.692,-1483978.406,784666.941,164.786,24.618
47,161.59665553828822,332.46640361520696,4594.692,-1483979.904,784668.837,164.786,24.618
48,162.97467917447236,358.00265325709688,4594.692,-1483980.301,784670.156,164.786,24.618
