vertex_index,distance,angle,elev,x,y,relief,velocity
30,112.14498713546716,251.97190062080480,287.313,-1023786.844,-1551712.980,69.484,1.971
31,114.95672832853305,273.49618734345677,286.813,-1023789.282,-1551714.382,70.297,1.971
32,119.82481908557672,302.58609884473134,287.813,-1023793.175,-1551711.459,70.703,0.550
33,124.73153560877478,298.27680539106501,287.523,-1023797.496,-1551709.134,70.500,0.550
34,129.63825213208312,296.46838358001713,287.430,-1023801.817,-1551706.810,70.430,0.550
35,132.29584788674279,294.65996176952939,288.938,-1023804.232,-1551705.701,69.109,0.550
36,134.95344364160539,311.02329069017003,289.750,-1023806.648,-1551704.592,68.336,0.550
37,138.35626521458323,327.38661960822765,290.656,-1023808.482,-1551701.726,66.625,0.550
38,141.75908678762383,332.92301829720890,292.602,-1023810.316,-1551698.860,66.641,0.550
39,144.28706446860738,338.45941698578855,293.711,-1023811.244,-1551696.508,66.641,0.550
40,146.81504214963368,3.05295315556298,295.766,-1023812.172,-1551694.157,66.633,0.550
41,150.17491730919696,27.64648932660637,297.188,-1023810.613,-1551691.181,66.641,0.550
42,153.53479246849994,15.51911534041949,298.203,-1023809.054,-1551688.204,66.625,0.550
43,157.99133475101314,3.39174135335512,301.797,-1023808.790,-1551683.756,66.188,0.550
44,162.44787703375187,1.60852986240371,303.281,-1023808.527,-1551679.307,64.867,0.550
45,165.78269265855226,359.82531837229396,304.242,-1023808.537,-1551675.972,64.391,0.550
46,169.11750828358549,320.55491024887425,304.406,-1023808.547,-1551672.637,64.016,0.550
47,173.19803775916580,281.28450212528850,305.391,-1023812.549,-1551671.839,63.758,0.550
48,177.27856723486028,281.52665733312932,306.984,-1023816.550,-1551671.040,62.484,0.550
49,180.91171496505129,281.76881254292732,308.773,-1023820.107,-1551670.299,61.273,0.550
50,184.54486269528971,285.54594542506806,308.852,-1023823.664,-1551669.558,60.430,0.550
51,188.61431263949419,289.32307830695817,310.078,-1023827.504,-1551668.212,59.469,0.550
52,192.68376258377569,327.52439380130738,309.172,-1023831.344,-1551666.865,58.797,0.550
53,197.16164928170571,39.25244255682914,308.633,-1023830.898,-1551662.410,58.500,0.550
54,201.81953280071295,72.77917581954851,307.758,-1023826.448,-1551661.031,58.953,0.550
55,206.47741631972016,67.03167537630947,306.570,-1023821.999,-1551659.652,59.859,0.550
56,211.40841382566819,61.28417493458168,306.406,-1023817.675,-1551657.282,60.258,0.550
57,216.33941133160647,10.77388086616981,306.383,-1023813.350,-1551654.913,61.094,0.550
58,220.95918511372724,320.26358679716958,305.875,-1023816.303,-1551651.361,60.914,0.550
59,225.57895889602705,312.10787946091318,306.031,-1023819.257,-1551647.808,61.945,0.550
60,229.40863838476153,303.95217212228903,308.313,-1023822.433,-1551645.669,62.055,0.550
61,233.23831787336599,294.61639250443403,310.328,-1023825.610,-1551643.530,62.484,0.550
62,237.16348799108917,285.28061288802382,312.320,-1023829.397,-1551642.496,62.484,0.550
63,241.08865810881235,277.54202302798939,315.805,-1023833.183,-1551641.461,62.828,0.550
64,245.28556288777312,269.80343316954418,317.891,-1023837.380,-1551641.476,62.828,0.550
65,249.48246766673313,277.05864085782491,319.461,-1023841.577,-1551641.490,62.477,0.550
66,252.45553974772409,284.31384854206516,320.609,-1023844.458,-1551640.755,61.797,0.550
67,255.42861182877024,293.50784868454917,321.297,-1023847.338,-1551640.020,61.500,0.550
68,259.83300481357838,335.26659723123754,321.977,-1023851.045,-1551637.641,60.820,0.630
69,264.33290153931108,38.59720240432152,321.563,-1023850.431,-1551633.183,61.109,0.630
70,269.09475793396490,34.92067919139199,320.297,-1023845.975,-1551631.504,61.125,0.550
71,271.32963647777063,335.87849306343884,320.289,-1023845.956,-1551629.270,60.750,0.550
72,275.31151658135349,309.52263338141859,321.227,-1023848.949,-1551626.643,60.461,0.630
73,278.94353812766070,303.74122816715698,321.969,-1023851.820,-1551624.418,60.023,0.630
74,281.81339498995658,276.34416504028707,323.445,-1023854.312,-1551622.996,59.430,0.630
75,285.86225109333157,252.97245358777616,325.391,-1023858.184,-1551624.181,60.023,0.630
76,289.91110719677471,258.14974283470525,327.023,-1023862.055,-1551625.367,60.023,0.630
77,294.32308754962065,277.33614889039490,328.094,-1023866.437,-1551625.880,60.023,0.630
78,298.10830763891192,291.34526569725966,328.242,-1023869.963,-1551624.502,60.023,0.630
79,301.89352772831165,288.96901284792216,327.758,-1023873.488,-1551623.124,59.750,0.630
80,305.26612293652710,254.46971945717823,327.672,-1023876.721,-1551622.161,62.578,0.630
81,310.03160108377847,238.01691761565431,327.516,-1023879.931,-1551625.683,64.266,0.630
82,314.84486598646725,230.85079556158749,327.813,-1023884.550,-1551627.035,64.750,0.630
83,316.63745010330422,235.81335903631401,327.992,-1023885.392,-1551628.618,65.156,0.630
84,319.58470053902346,270.52793578756456,327.922,-1023888.321,-1551628.945,65.109,0.630
85,322.04159309922596,270.33688006426314,327.734,-1023890.757,-1551628.627,65.578,0.630
86,324.54800190137468,263.23017181886485,327.469,-1023893.246,-1551628.923,65.531,0.630
87,327.05441070363895,265.37762881125457,326.914,-1023895.735,-1551629.218,65.133,0.630
88,330.05582649839744,302.51428852829338,326.750,-1023898.734,-1551629.348,65.055,0.630
89,332.06572286955037,3.87795963091036,325.766,-1023899.503,-1551627.491,64.797,0.630
90,334.12478009669076,45.41562399962398,325.516,-1023898.465,-1551625.712,63.844,0.630
91,337.96081040101569,50.59020843185426,325.820,-1023895.124,-1551623.828,62.070,0.630
92,342.32208201612895,19.37026121311401,326.336,-1023892.286,-1551620.516,61.063,0.630
93,344.40994387751999,326.07642194223240,326.813,-1023892.354,-1551618.430,59.719,0.630
94,346.58504473783654,282.85377132490385,327.492,-1023894.341,-1551617.545,57.414,0.630
95,349.27712546631471,307.16115803091100,327.773,-1023897.031,-1551617.465,56.516,0.630
96,354.10224344634474,341.16418844357491,327.883,-1023898.472,-1551612.860,54.336,0.630
97,357.23857754659753,325.40855104470938,328.383,-1023899.560,-1551609.918,54.008,0.630
98,360.82740952042690,311.11741694570190,328.305,-1023902.264,-1551607.558,54.391,0.630
99,364.41624149425621,343.45176469224305,328.820,-1023904.968,-1551605.198,54.063,0.630
100,367.72311549909313,17.06716845964615,329.484,-1023904.068,-1551602.016,54.063,0.630
101,372.12725346169429,17.23129850328670,329.570,-1023902.682,-1551597.836,54.391,0.630
102,375.32444465209778,16.11437252448418,330.383,-1023901.794,-1551594.764,54.203,0.630
103,378.52163584269266,20.88848741906989,330.945,-1023900.907,-1551591.693,54.203,2.601
104,381.38297823417071,25.66260231628738,332.031,-1023899.668,-1551589.114,54.008,2.601
105,384.24432062569917,19.78097066060464,331.898,-1023898.428,-1551586.535,54.008,2.601
106,387.12280704251936,356.94703760519940,333.648,-1023897.737,-1551583.740,53.195,2.601
107,389.68693324558734,339.99473620563754,333.344,-1023898.614,-1551581.331,54.008,2.601
108,392.25105944843654,307.74580846244322,334.352,-1023899.491,-1551578.922,53.641,2.601
109,395.79173769261911,266.10265670449252,332.773,-1023903.016,-1551578.582,53.352,2.601
110,399.23249493046910,239.38560060469089,332.234,-1023906.364,-1551579.373,51.484,2.601
111,402.31677396751365,222.06276852278728,331.680,-1023908.431,-1551581.663,50.438,2.601
112,405.40105300446345,214.67443593779353,331.352,-1023910.497,-1551583.953,48.867,2.601
113,408.17832658269162,207.28610334944707,332.055,-1023911.770,-1551586.421,49.453,2.601
114,410.95560016112671,201.26754567803457,332.297,-1023913.043,-1551588.890,46.695,2.601
115,415.50184067518990,198.72461904094268,331.914,-1023914.239,-1551593.276,43.852,0.630
116,419.37190365235409,203.76331070190685,332.023,-1023915.701,-1551596.859,43.852,0.630
117,422.29342364250925,205.32637133068323,333.211,-1023916.951,-1551599.500,42.578,0.630
118,425.21494363271427,238.30571741403500,335.805,-1023918.201,-1551602.140,42.297,0.630
119,427.53725412350877,297.48388700456178,336.469,-1023920.523,-1551602.088,42.047,0.630
120,430.67696210094834,333.55579117704997,334.727,-1023922.382,-1551599.558,41.797,0.630
121,435.09262461407144,352.80488611287643,333.367,-1023923.641,-1551595.326,41.797,0.630
122,439.45769472781893,9.71411311347605,332.891,-1023923.475,-1551590.964,41.797,2.601
123,443.54582885854120,22.77189995458812,332.641,-1023922.263,-1551587.060,41.797,2.601
124,448.48662258806758,15.00758545597867,332.688,-1023919.921,-1551582.710,42.297,2.601
125,451.17334212642402,1.71869684414545,332.328,-1023919.841,-1551580.024,42.297,2.601
126,453.86006166454422,348.35405036704105,333.539,-1023919.760,-1551577.339,42.297,2.601
127,457.82006237970728,321.58124815142867,336.227,-1023921.434,-1551573.750,42.047,2.601
128,460.37874165734627,287.40403555168592,336.211,-1023923.446,-1551572.168,41.797,2.601
129,464.40601297582174,254.93613568696455,335.234,-1023927.466,-1551572.405,40.781,2.601
130,467.86060900977975,215.67998898405727,335.000,-1023930.551,-1551573.960,39.633,2.601
131,471.76923328911585,200.54507811738981,334.414,-1023931.103,-1551577.830,39.633,2.601
132,474.67080551167777,198.09390893606513,335.430,-1023932.682,-1551580.264,39.539,2.601
133,477.17301564439390,207.80602738204365,336.281,-1023932.822,-1551582.762,39.539,2.601
134,482.13885458819539,244.73104616868295,338.039,-1023936.756,-1551585.793,39.313,2.601
135,486.70146307656006,271.60361195074438,341.195,-1023941.203,-1551586.814,39.875,2.601
136,490.39497256124827,286.13683940332197,344.117,-1023944.751,-1551585.787,40.633,2.601
137,494.08848204587179,298.50260416507228,347.672,-1023948.299,-1551584.761,41.133,2.601
138,498.60935028555031,334.76838149932740,343.875,-1023951.718,-1551581.803,41.602,2.601
139,502.51124419964378,11.17911055451893,341.820,-1023951.809,-1551577.902,41.602,2.601
140,506.70027297223794,34.78424166706395,341.648,-1023950.125,-1551574.066,41.602,2.601
141,510.96393272495231,48.63819573445462,340.898,-1023947.065,-1551571.097,40.891,2.601
142,514.72101211998233,44.39233871309855,340.570,-1023944.129,-1551568.753,40.633,2.601
143,517.30666840282424,14.95481689651926,339.438,-1023942.559,-1551566.699,40.156,2.601
